match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T201051,KKR Vs Punjab Kings,KKR,Varun Chakravarthy,4,0,24,2,6,8,1,1,0,0
T201051,KKR Vs Punjab Kings,KKR,Sunil Narine,4,0,34,1,8.5,5,0,2,2,0
T201051,KKR Vs Punjab Kings,KKR,Venkatesh Iyer,2.3,0,30,1,12,2,0,3,0,1
T201051,KKR Vs Punjab Kings,KKR,Nitish Rana,1,0,7,0,7,1,0,0,0,0
T203061,Sunrisers Vs Super Kings,Super Kings,Deepak Chahar,4,0,32,0,8,9,2,2,0,0
T203061,Sunrisers Vs Super Kings,Super Kings,Josh Hazlewood,4,0,24,3,6,13,1,2,0,0
T203061,Sunrisers Vs Super Kings,Super Kings,Shardul Thakur,4,0,37,1,9.25,7,4,0,1,1
T203061,Sunrisers Vs Super Kings,Super Kings,Dwayne Bravo,4,0,17,2,4.25,10,0,0,3,0
T203061,Sunrisers Vs Super Kings,Super Kings,Ravindra Jadeja,3,0,14,1,4.66,5,0,0,0,0
T203061,Sunrisers Vs Super Kings,Super Kings,Moeen Ali,1,0,5,0,5,2,0,0,0,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Sandeep Sharma,3,0,18,0,6,7,1,0,0,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Bhuvneshwar Kumar,4,0,34,0,8.5,12,1,3,2,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Jason Holder,4,0,27,3,6.75,9,3,0,0,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Rashid Khan,4,0,27,1,6.75,12,3,1,1,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Siddarth Kaul,2.4,0,24,0,9,8,2,2,0,0
T203061,Sunrisers Vs Super Kings,Sunrisers,Abhishek Sharma,2,0,9,0,4.5,6,1,0,0,0
T204742,Royals Vs RCB,RCB,George Garton,3,0,30,1,10,9,1,3,1,0
T204742,Royals Vs RCB,RCB,Mohammed Siraj,3,0,18,0,6,7,2,0,1,0
T204742,Royals Vs RCB,RCB,Glenn Maxwell,2,0,17,0,8.5,4,1,1,0,0
T204742,Royals Vs RCB,RCB,Harshal Patel,4,0,34,3,8.5,10,4,1,1,0
T204742,Royals Vs RCB,RCB,Dan Christian,2,0,21,1,10.5,3,2,1,0,0
T204742,Royals Vs RCB,RCB,Yuzvendra Chahal,4,0,18,2,4.5,11,0,1,0,0
T204742,Royals Vs RCB,RCB,Shahbaz Ahmed,2,0,10,2,5,2,0,0,0,0
T204742,Royals Vs RCB,Royals,Chris Morris,4,0,50,0,12.5,5,6,2,0,0
T204742,Royals Vs RCB,Royals,Kartik Tyagi,2,0,23,0,11.5,3,3,0,2,0
T204742,Royals Vs RCB,Royals,Chetan Sakariya,3,0,18,0,6,8,2,0,1,0
T204742,Royals Vs RCB,Royals,Mustafizur Rahman,3,0,20,2,6.66,8,2,0,0,0
T204742,Royals Vs RCB,Royals,Rahul Tewatia,3,0,23,0,7.66,4,3,0,0,0
T204742,Royals Vs RCB,Royals,Mahipal Lomror,2,0,13,0,6.5,3,1,0,1,0
T204742,Royals Vs RCB,Royals,Riyan Parag,0.1,0,4,0,24,0,1,0,0,0
T208262,Punjab Kings Vs Mumbai,Mumbai,Krunal Pandya,4,0,24,1,6,6,1,0,0,1
T208262,Punjab Kings Vs Mumbai,Mumbai,Trent Boult,3,0,30,0,10,7,4,1,1,0
T208262,Punjab Kings Vs Mumbai,Mumbai,Jasprit Bumrah,4,0,24,2,6,11,2,0,0,0
T208262,Punjab Kings Vs Mumbai,Mumbai,Nathan CoulterNile,4,0,19,0,4.75,10,1,0,0,0
T208262,Punjab Kings Vs Mumbai,Mumbai,Kieron Pollard,1,0,8,2,8,2,1,0,1,0
T208262,Punjab Kings Vs Mumbai,Mumbai,Rahul Chahar,4,0,27,1,6.75,6,2,0,0,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Aiden Markram,3,0,18,0,6,5,1,0,1,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Mohammed Shami,4,0,42,1,10.5,9,5,2,0,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Arshdeep Singh,4,0,29,0,7.25,9,2,1,1,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Ravi Bishnoi,4,0,25,2,6.25,11,2,1,0,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Nathan Ellis,3,0,12,1,4,10,1,0,0,0
T208262,Punjab Kings Vs Mumbai,Punjab Kings,Harpreet Brar,1,0,11,0,11,1,0,1,0,0
T206700,Capitals Vs KKR,KKR,Sandeep Warrier,2,0,15,0,7.5,6,3,0,0,0
T206700,Capitals Vs KKR,KKR,Tim Southee,4,0,29,1,7.25,9,4,0,1,0
T206700,Capitals Vs KKR,KKR,Lockie Ferguson,2,0,10,2,5,6,1,0,0,0
T206700,Capitals Vs KKR,KKR,Varun Chakravarthy,4,0,24,0,6,8,2,0,1,0
T206700,Capitals Vs KKR,KKR,Sunil Narine,4,0,18,2,4.5,10,1,0,0,0
T206700,Capitals Vs KKR,KKR,Venkatesh Iyer,4,0,29,2,7.25,8,3,0,2,0
T206700,Capitals Vs KKR,Capitals,Anrich Nortje,2.2,0,15,1,6.42,9,3,0,1,0
T206700,Capitals Vs KKR,Capitals,Axar Patel,3,0,13,0,4.33,10,0,1,0,0
T206700,Capitals Vs KKR,Capitals,Ravichandran Ashwin,4,0,24,1,6,10,1,1,1,0
T206700,Capitals Vs KKR,Capitals,Lalit Yadav,3,0,35,1,11.66,5,1,3,0,0
T206700,Capitals Vs KKR,Capitals,Avesh Khan,3,0,13,3,4.33,9,1,0,0,0
T206700,Capitals Vs KKR,Capitals,Kagiso Rabada,3,1,28,1,9.33,10,2,2,0,1
T206862,Royals Vs Sunrisers,Sunrisers,Sandeep Sharma,3,0,30,1,10,5,4,1,0,0
T206862,Royals Vs Sunrisers,Sunrisers,Bhuvneshwar Kumar,4,1,28,1,7,8,3,0,1,0
T206862,Royals Vs Sunrisers,Sunrisers,Jason Holder,4,0,27,0,6.75,7,1,1,1,0
T206862,Royals Vs Sunrisers,Sunrisers,Siddarth Kaul,4,0,36,2,9,10,3,2,0,0
T206862,Royals Vs Sunrisers,Sunrisers,Rashid Khan,4,0,31,1,7.75,7,2,1,1,0
T206862,Royals Vs Sunrisers,Sunrisers,Abhishek Sharma,1,0,8,0,8,1,1,0,0,0
T206862,Royals Vs Sunrisers,Royals,Jaydev Unadkat,2,0,20,0,10,4,2,1,1,0
T206862,Royals Vs Sunrisers,Royals,Chris Morris,3,0,27,0,9,6,4,0,0,0
T206862,Royals Vs Sunrisers,Royals,Mustafizur Rahman,3.3,0,26,1,7.42,11,5,0,1,0
T206862,Royals Vs Sunrisers,Royals,Mahipal Lomror,3,0,22,1,7.33,6,1,1,0,0
T206862,Royals Vs Sunrisers,Royals,Rahul Tewatia,3,0,32,0,10.66,3,3,1,2,0
T206862,Royals Vs Sunrisers,Royals,Chetan Sakariya,4,0,32,1,8,7,1,1,4,0
T203043,RCB Vs Mumbai,Mumbai,Trent Boult,4,0,17,1,4.25,16,1,1,1,0
T203043,RCB Vs Mumbai,Mumbai,Jasprit Bumrah,4,0,36,3,9,12,4,2,2,0
T203043,RCB Vs Mumbai,Mumbai,Adam Milne,4,0,48,1,12,7,6,2,0,1
T203043,RCB Vs Mumbai,Mumbai,Krunal Pandya,4,0,27,0,6.75,8,0,1,3,0
T203043,RCB Vs Mumbai,Mumbai,Rahul Chahar,4,0,33,1,8.25,11,1,3,0,0
T203043,RCB Vs Mumbai,RCB,Kyle Jamieson,2,0,22,0,11,3,3,0,0,1
T203043,RCB Vs Mumbai,RCB,Mohammed Siraj,3,0,15,1,5,12,3,0,0,0
T203043,RCB Vs Mumbai,RCB,Dan Christian,2,0,21,0,10.5,2,3,0,0,0
T203043,RCB Vs Mumbai,RCB,Harshal Patel,3.1,0,17,4,5.36,10,1,0,3,0
T203043,RCB Vs Mumbai,RCB,Yuzvendra Chahal,4,1,11,3,2.75,16,1,0,0,0
T203043,RCB Vs Mumbai,RCB,Glenn Maxwell,4,0,23,2,5.75,8,0,1,1,0
T202406,KKR Vs Super Kings,Super Kings,Deepak Chahar,4,0,32,0,8,8,5,0,1,0
T202406,KKR Vs Super Kings,Super Kings,Sam Curran,4,0,56,0,14,5,6,3,2,1
T202406,KKR Vs Super Kings,Super Kings,Josh Hazlewood,4,0,40,2,10,8,5,1,2,0
T202406,KKR Vs Super Kings,Super Kings,Shardul Thakur,4,1,20,2,5,10,1,0,0,0
T202406,KKR Vs Super Kings,Super Kings,Ravindra Jadeja,4,0,21,1,5.25,5,0,0,0,0
T202406,KKR Vs Super Kings,KKR,Prasidh Krishna,4,0,41,1,10.25,9,5,2,0,0
T202406,KKR Vs Super Kings,KKR,Lockie Ferguson,4,0,33,1,8.25,10,3,1,1,1
T202406,KKR Vs Super Kings,KKR,Varun Chakravarthy,4,0,22,1,5.5,9,2,0,0,0
